ID,Pattern Type,Grime Type,Grime Severity,Directory
0,bridge,,,./patterns/rep_1/bridge/control/
1,bridge,pig,1,./patterns/rep_1/bridge/inst_pig_1/
2,bridge,pig,2,./patterns/rep_1/bridge/inst_pig_2/
3,bridge,pig,3,./patterns/rep_1/bridge/inst_pig_3/
4,bridge,pig,4,./patterns/rep_1/bridge/inst_pig_4/
5,bridge,pig,5,./patterns/rep_1/bridge/inst_pig_5/
6,bridge,pig,6,./patterns/rep_1/bridge/inst_pig_6/
7,bridge,peag,1,./patterns/rep_1/bridge/inst_peag_1/
8,bridge,peag,2,./patterns/rep_1/bridge/inst_peag_2/
9,bridge,peag,3,./patterns/rep_1/bridge/inst_peag_3/
10,bridge,peag,4,./patterns/rep_1/bridge/inst_peag_4/
11,bridge,peag,5,./patterns/rep_1/bridge/inst_peag_5/
12,bridge,peag,6,./patterns/rep_1/bridge/inst_peag_6/
13,bridge,peeg,1,./patterns/rep_1/bridge/inst_peeg_1/
14,bridge,peeg,2,./patterns/rep_1/bridge/inst_peeg_2/
15,bridge,peeg,3,./patterns/rep_1/bridge/inst_peeg_3/
16,bridge,peeg,4,./patterns/rep_1/bridge/inst_peeg_4/
17,bridge,peeg,5,./patterns/rep_1/bridge/inst_peeg_5/
18,bridge,peeg,6,./patterns/rep_1/bridge/inst_peeg_6/
19,bridge,tig,1,./patterns/rep_1/bridge/inst_tig_1/
20,bridge,tig,2,./patterns/rep_1/bridge/inst_tig_2/
21,bridge,tig,3,./patterns/rep_1/bridge/inst_tig_3/
22,bridge,tig,4,./patterns/rep_1/bridge/inst_tig_4/
23,bridge,tig,5,./patterns/rep_1/bridge/inst_tig_5/
24,bridge,tig,6,./patterns/rep_1/bridge/inst_tig_6/
25,bridge,teag,1,./patterns/rep_1/bridge/inst_teag_1/
26,bridge,teag,2,./patterns/rep_1/bridge/inst_teag_2/
27,bridge,teag,3,./patterns/rep_1/bridge/inst_teag_3/
28,bridge,teag,4,./patterns/rep_1/bridge/inst_teag_4/
29,bridge,teag,5,./patterns/rep_1/bridge/inst_teag_5/
30,bridge,teag,6,./patterns/rep_1/bridge/inst_teag_6/
31,bridge,teeg,1,./patterns/rep_1/bridge/inst_teeg_1/
32,bridge,teeg,2,./patterns/rep_1/bridge/inst_teeg_2/
33,bridge,teeg,3,./patterns/rep_1/bridge/inst_teeg_3/
34,bridge,teeg,4,./patterns/rep_1/bridge/inst_teeg_4/
35,bridge,teeg,5,./patterns/rep_1/bridge/inst_teeg_5/
36,bridge,teeg,6,./patterns/rep_1/bridge/inst_teeg_6/
37,bridge,dipg,1,./patterns/rep_1/bridge/inst_dipg_1/
38,bridge,dipg,2,./patterns/rep_1/bridge/inst_dipg_2/
39,bridge,dipg,3,./patterns/rep_1/bridge/inst_dipg_3/
40,bridge,dipg,4,./patterns/rep_1/bridge/inst_dipg_4/
41,bridge,dipg,5,./patterns/rep_1/bridge/inst_dipg_5/
42,bridge,dipg,6,./patterns/rep_1/bridge/inst_dipg_6/
43,bridge,disg,1,./patterns/rep_1/bridge/inst_disg_1/
44,bridge,disg,2,./patterns/rep_1/bridge/inst_disg_2/
45,bridge,disg,3,./patterns/rep_1/bridge/inst_disg_3/
46,bridge,disg,4,./patterns/rep_1/bridge/inst_disg_4/
47,bridge,disg,5,./patterns/rep_1/bridge/inst_disg_5/
48,bridge,disg,6,./patterns/rep_1/bridge/inst_disg_6/
49,bridge,depg,1,./patterns/rep_1/bridge/inst_depg_1/
50,bridge,depg,2,./patterns/rep_1/bridge/inst_depg_2/
51,bridge,depg,3,./patterns/rep_1/bridge/inst_depg_3/
52,bridge,depg,4,./patterns/rep_1/bridge/inst_depg_4/
53,bridge,depg,5,./patterns/rep_1/bridge/inst_depg_5/
54,bridge,depg,6,./patterns/rep_1/bridge/inst_depg_6/
55,bridge,desg,1,./patterns/rep_1/bridge/inst_desg_1/
56,bridge,desg,2,./patterns/rep_1/bridge/inst_desg_2/
57,bridge,desg,3,./patterns/rep_1/bridge/inst_desg_3/
58,bridge,desg,4,./patterns/rep_1/bridge/inst_desg_4/
59,bridge,desg,5,./patterns/rep_1/bridge/inst_desg_5/
60,bridge,desg,6,./patterns/rep_1/bridge/inst_desg_6/
61,bridge,iipg,1,./patterns/rep_1/bridge/inst_iipg_1/
62,bridge,iipg,2,./patterns/rep_1/bridge/inst_iipg_2/
63,bridge,iipg,3,./patterns/rep_1/bridge/inst_iipg_3/
64,bridge,iipg,4,./patterns/rep_1/bridge/inst_iipg_4/
65,bridge,iipg,5,./patterns/rep_1/bridge/inst_iipg_5/
66,bridge,iipg,6,./patterns/rep_1/bridge/inst_iipg_6/
67,bridge,iisg,1,./patterns/rep_1/bridge/inst_iisg_1/
68,bridge,iisg,2,./patterns/rep_1/bridge/inst_iisg_2/
69,bridge,iisg,3,./patterns/rep_1/bridge/inst_iisg_3/
70,bridge,iisg,4,./patterns/rep_1/bridge/inst_iisg_4/
71,bridge,iisg,5,./patterns/rep_1/bridge/inst_iisg_5/
72,bridge,iisg,6,./patterns/rep_1/bridge/inst_iisg_6/
73,bridge,iepg,1,./patterns/rep_1/bridge/inst_iepg_1/
74,bridge,iepg,2,./patterns/rep_1/bridge/inst_iepg_2/
75,bridge,iepg,3,./patterns/rep_1/bridge/inst_iepg_3/
76,bridge,iepg,4,./patterns/rep_1/bridge/inst_iepg_4/
77,bridge,iepg,5,./patterns/rep_1/bridge/inst_iepg_5/
78,bridge,iepg,6,./patterns/rep_1/bridge/inst_iepg_6/
79,bridge,iseg,1,./patterns/rep_1/bridge/inst_iseg_1/
80,bridge,iseg,2,./patterns/rep_1/bridge/inst_iseg_2/
81,bridge,iseg,3,./patterns/rep_1/bridge/inst_iseg_3/
82,bridge,iseg,4,./patterns/rep_1/bridge/inst_iseg_4/
83,bridge,iseg,5,./patterns/rep_1/bridge/inst_iseg_5/
84,bridge,iseg,6,./patterns/rep_1/bridge/inst_iseg_6/
85,bridge,picg,1,./patterns/rep_1/bridge/inst_picg_1/
86,bridge,picg,2,./patterns/rep_1/bridge/inst_picg_2/
87,bridge,picg,3,./patterns/rep_1/bridge/inst_picg_3/
88,bridge,picg,4,./patterns/rep_1/bridge/inst_picg_4/
89,bridge,picg,5,./patterns/rep_1/bridge/inst_picg_5/
90,bridge,picg,6,./patterns/rep_1/bridge/inst_picg_6/
91,bridge,pirg,1,./patterns/rep_1/bridge/inst_pirg_1/
92,bridge,pirg,2,./patterns/rep_1/bridge/inst_pirg_2/
93,bridge,pirg,3,./patterns/rep_1/bridge/inst_pirg_3/
94,bridge,pirg,4,./patterns/rep_1/bridge/inst_pirg_4/
95,bridge,pirg,5,./patterns/rep_1/bridge/inst_pirg_5/
96,bridge,pirg,6,./patterns/rep_1/bridge/inst_pirg_6/
97,bridge,pecg,1,./patterns/rep_1/bridge/inst_pecg_1/
98,bridge,pecg,2,./patterns/rep_1/bridge/inst_pecg_2/
99,bridge,pecg,3,./patterns/rep_1/bridge/inst_pecg_3/
100,bridge,pecg,4,./patterns/rep_1/bridge/inst_pecg_4/
101,bridge,pecg,5,./patterns/rep_1/bridge/inst_pecg_5/
102,bridge,pecg,6,./patterns/rep_1/bridge/inst_pecg_6/
103,bridge,perg,1,./patterns/rep_1/bridge/inst_perg_1/
104,bridge,perg,2,./patterns/rep_1/bridge/inst_perg_2/
105,bridge,perg,3,./patterns/rep_1/bridge/inst_perg_3/
106,bridge,perg,4,./patterns/rep_1/bridge/inst_perg_4/
107,bridge,perg,5,./patterns/rep_1/bridge/inst_perg_5/
108,bridge,perg,6,./patterns/rep_1/bridge/inst_perg_6/
109,bridge,mpicg,1,./patterns/rep_1/bridge/inst_mpicg_1/
110,bridge,mpicg,2,./patterns/rep_1/bridge/inst_mpicg_2/
111,bridge,mpicg,3,./patterns/rep_1/bridge/inst_mpicg_3/
112,bridge,mpicg,4,./patterns/rep_1/bridge/inst_mpicg_4/
113,bridge,mpicg,5,./patterns/rep_1/bridge/inst_mpicg_5/
114,bridge,mpicg,6,./patterns/rep_1/bridge/inst_mpicg_6/
115,bridge,mpiug,1,./patterns/rep_1/bridge/inst_mpiug_1/
116,bridge,mpiug,2,./patterns/rep_1/bridge/inst_mpiug_2/
117,bridge,mpiug,3,./patterns/rep_1/bridge/inst_mpiug_3/
118,bridge,mpiug,4,./patterns/rep_1/bridge/inst_mpiug_4/
119,bridge,mpiug,5,./patterns/rep_1/bridge/inst_mpiug_5/
120,bridge,mpiug,6,./patterns/rep_1/bridge/inst_mpiug_6/
121,bridge,mpecg,1,./patterns/rep_1/bridge/inst_mpecg_1/
122,bridge,mpecg,2,./patterns/rep_1/bridge/inst_mpecg_2/
123,bridge,mpecg,3,./patterns/rep_1/bridge/inst_mpecg_3/
124,bridge,mpecg,4,./patterns/rep_1/bridge/inst_mpecg_4/
125,bridge,mpecg,5,./patterns/rep_1/bridge/inst_mpecg_5/
126,bridge,mpecg,6,./patterns/rep_1/bridge/inst_mpecg_6/
127,bridge,mpeug,1,./patterns/rep_1/bridge/inst_mpeug_1/
128,bridge,mpeug,2,./patterns/rep_1/bridge/inst_mpeug_2/
129,bridge,mpeug,3,./patterns/rep_1/bridge/inst_mpeug_3/
130,bridge,mpeug,4,./patterns/rep_1/bridge/inst_mpeug_4/
131,bridge,mpeug,5,./patterns/rep_1/bridge/inst_mpeug_5/
132,bridge,mpeug,6,./patterns/rep_1/bridge/inst_mpeug_6/
133,bridge,mticg,1,./patterns/rep_1/bridge/inst_mticg_1/
134,bridge,mticg,2,./patterns/rep_1/bridge/inst_mticg_2/
135,bridge,mticg,3,./patterns/rep_1/bridge/inst_mticg_3/
136,bridge,mticg,4,./patterns/rep_1/bridge/inst_mticg_4/
137,bridge,mticg,5,./patterns/rep_1/bridge/inst_mticg_5/
138,bridge,mticg,6,./patterns/rep_1/bridge/inst_mticg_6/
139,bridge,mticg,1,./patterns/rep_1/bridge/inst_mticg_1/
140,bridge,mticg,2,./patterns/rep_1/bridge/inst_mticg_2/
141,bridge,mticg,3,./patterns/rep_1/bridge/inst_mticg_3/
142,bridge,mticg,4,./patterns/rep_1/bridge/inst_mticg_4/
143,bridge,mticg,5,./patterns/rep_1/bridge/inst_mticg_5/
144,bridge,mticg,6,./patterns/rep_1/bridge/inst_mticg_6/
145,bridge,mtiug,1,./patterns/rep_1/bridge/inst_mtiug_1/
146,bridge,mtiug,2,./patterns/rep_1/bridge/inst_mtiug_2/
147,bridge,mtiug,3,./patterns/rep_1/bridge/inst_mtiug_3/
148,bridge,mtiug,4,./patterns/rep_1/bridge/inst_mtiug_4/
149,bridge,mtiug,5,./patterns/rep_1/bridge/inst_mtiug_5/
150,bridge,mtiug,6,./patterns/rep_1/bridge/inst_mtiug_6/
151,bridge,mtecg,1,./patterns/rep_1/bridge/inst_mtecg_1/
152,bridge,mtecg,2,./patterns/rep_1/bridge/inst_mtecg_2/
153,bridge,mtecg,3,./patterns/rep_1/bridge/inst_mtecg_3/
154,bridge,mtecg,4,./patterns/rep_1/bridge/inst_mtecg_4/
155,bridge,mtecg,5,./patterns/rep_1/bridge/inst_mtecg_5/
156,bridge,mtecg,6,./patterns/rep_1/bridge/inst_mtecg_6/
157,bridge,mteug,1,./patterns/rep_1/bridge/inst_mteug_1/
158,bridge,mteug,2,./patterns/rep_1/bridge/inst_mteug_2/
159,bridge,mteug,3,./patterns/rep_1/bridge/inst_mteug_3/
160,bridge,mteug,4,./patterns/rep_1/bridge/inst_mteug_4/
161,bridge,mteug,5,./patterns/rep_1/bridge/inst_mteug_5/
162,bridge,mteug,6,./patterns/rep_1/bridge/inst_mteug_6/
