ID,PatternType,InjectionType,InjectionSeverity,Key1,Key2,Path1,Path2,QMEFFECT,QMEXTEND,QMFLEX,QMFUNC,QMREUSE,QMUNDER,Functional Correctness,Performance Efficiency,Compatibility,Usability,Reliability,Security,Maintainability,Portability,cast_td
1,state,picg,1,state:state-1:1.0.0,state:state-1_copy:1.0.0,grime_data/state/state-1/,grime_data/state/state-1_copy/,,,,,,,,,,,,,,,
2,state,pirg,1,state:state-2:1.0.0,state:state-2_copy:1.0.0,grime_data/state/state-2/,grime_data/state/state-2_copy/,,,,,,,,,,,,,,,
3,state,pecg,1,state:state-3:1.0.0,state:state-3_copy:1.0.0,grime_data/state/state-3/,grime_data/state/state-3_copy/,,,,,,,,,,,,,,,
4,state,perg,1,state:state-4:1.0.0,state:state-4_copy:1.0.0,grime_data/state/state-4/,grime_data/state/state-4_copy/,,,,,,,,,,,,,,,
5,state,mtiug,1,state:state-5:1.0.0,state:state-5_copy:1.0.0,grime_data/state/state-5/,grime_data/state/state-5_copy/,,,,,,,,,,,,,,,
6,state,mpecg,1,state:state-6:1.0.0,state:state-6_copy:1.0.0,grime_data/state/state-6/,grime_data/state/state-6_copy/,,,,,,,,,,,,,,,
7,state,mpiug,1,state:state-7:1.0.0,state:state-7_copy:1.0.0,grime_data/state/state-7/,grime_data/state/state-7_copy/,,,,,,,,,,,,,,,
8,state,mpeug,1,state:state-8:1.0.0,state:state-8_copy:1.0.0,grime_data/state/state-8/,grime_data/state/state-8_copy/,,,,,,,,,,,,,,,
9,state,mpicg,1,state:state-9:1.0.0,state:state-9_copy:1.0.0,grime_data/state/state-9/,grime_data/state/state-9_copy/,,,,,,,,,,,,,,,
10,state,mticg,1,state:state-10:1.0.0,state:state-10_copy:1.0.0,grime_data/state/state-10/,grime_data/state/state-10_copy/,,,,,,,,,,,,,,,
11,state,mtecg,1,state:state-11:1.0.0,state:state-11_copy:1.0.0,grime_data/state/state-11/,grime_data/state/state-11_copy/,,,,,,,,,,,,,,,
12,state,mteug,1,state:state-12:1.0.0,state:state-12_copy:1.0.0,grime_data/state/state-12/,grime_data/state/state-12_copy/,,,,,,,,,,,,,,,
